Address,AddrCoor,Latitude,Longitude,injury,Date
200 block Kennedy Heights,"200 Kennedy Hts, Madison, Wisconsin, 53704",43.14019683989521,-89.38798062705139,no,2010-03-12T22:08:00.000Z
5800 block Balsam Rd.,"5800 Balsam Rd, Madison, Wisconsin, 53711",43.03091501625707,-89.47982823664154,no,2010-03-13T03:59:00.000Z
1038 Friar Lane (Sherwood Forest Park),"1038 Friar Ln, Madison, Wisconsin, 53711",43.043286553955966,-89.47967244927534,no,2010-03-15T17:55:00.000Z
Stoughton Rd. &amp Pflaum Rd.,"S Stoughton Rd & Pflaum Rd, Madison, Wisconsin, 53716",43.06226399999999,-89.3101815,yes,2010-03-19T01:35:00.000Z
1500 block Rae Lane,"1500 Rae Ln, Madison, Wisconsin, 53711",43.036937650723736,-89.48423342756267,no,2010-04-02T20:36:00.000Z
300 block Clyde Gallagher Ave.,"300 Clyde Gallagher Ave, Madison, Wisconsin, 53704",43.10258224399764,-89.3400510681257,no,2010-04-08T01:20:00.000Z
2800 block Commercial Ave.,"2800 Commercial Ave, Madison, Wisconsin, 53704",43.106848099113066,-89.34528015146581,no,2010-04-26T21:24:00.000Z
4200 block Milwaukee St.,"4200 Milwaukee St, Madison, Wisconsin, 53714",43.09856693276246,-89.31288367995106,yes,2010-05-05T20:18:00.000Z
2000 block Baird St.,"2000 Baird St, Madison, Wisconsin, 53713",43.04432503153471,-89.39070910670944,no,2010-05-06T13:22:00.000Z
2000 block Baird St.,"2000 Baird St, Madison, Wisconsin, 53713",43.04432503153471,-89.39070910670944,no,2010-05-08T22:25:00.000Z
200 block N Marquette St.,"200 S Marquette St, Madison, Wisconsin, 53704",43.09515819774018,-89.34164223256691,no,2010-05-12T20:34:00.000Z
1400 block Theresa Terrace,"1400 Theresa Ter, Madison, Wisconsin, 53711",43.03805241356789,-89.48988947814662,no,2010-05-14T06:30:00.000Z
2400 block of Prairie Road,"2400 Prairie Rd, Madison, Wisconsin, 53711",43.02682566199225,-89.4889409913955,no,2010-05-15T00:07:00.000Z
1300 block Northport Dr.,"1300 Northport Dr, Madison, Wisconsin, 53704",43.13526499028703,-89.37403563735866,no,2010-05-19T20:42:00.000Z
20 block North Street,"20 North St, Madison, Wisconsin, 53704",43.100651421028395,-89.3491778323906,no,2010-05-23T18:39:00.000Z
100 block N. Bassett St.,"100 S Bassett St, Madison, Wisconsin, 53703",43.06917036267549,-89.38953957603722,no,2010-05-23T11:50:00.000Z
1300 Block of Gilson St,"1300 Gilson St, Madison, Wisconsin, 53715",43.05292407068345,-89.39037234757916,no,2010-05-28T21:57:00.000Z
1800 block Fisher St.,"1800 Fisher St, Madison, Wisconsin, 53713",43.047806319500154,-89.39154376792946,no,2010-06-07T20:52:00.000Z
400 block N. Frances St.,"400 N Frances St, Madison, Wisconsin, 53703",43.07317826673804,-89.39587524006424,no,2010-05-29T02:12:00.000Z
15 E. Main St. (Walgreens),Walgreens,43.074329922817476,-89.38252997720602,no,2010-06-08T06:56:00.000Z
900 Drake Street,"900 Drake St, Madison, Wisconsin, 53715",43.06209897830848,-89.4009353594193,yes,2010-06-18T00:53:00.000Z
