OBJECTID,Accela_ID,Park_ID,Type,Mstn_level,Acreage,Park_Name,Polygon_count,SHAPESTArea,SHAPESTLength
5760,Monona Park,358N,NEIGHBORHOOD,CityPark_Neighborhood,8.47999954,Monona Park,1,369234.297821045,3866.72351061953
5761,Heritage Sanctuary,416E,CONSERVATION,CityPark_Conservation,9.34000015,Heritage Sanctuary,1,407041.013183594,4521.95058384153
5762,Wheeler Heights Park,588N,MINI,CityPark_Mini,1.62,Wheeler Heights Park,1,70702.4266052246,1049.59382188431
5763,Prairie Ridge Conserv Park,791E,CONSERVATION,CityPark_Conservation,48.75999832,Prairie Ridge Conservation Park,1,2124051.33398438,7539.17861921886
5764,Raymond Ridge Park,789N,NEIGHBORHOOD,CityPark_Neighborhood,17.28000069,Raymond Ridge Park,1,752922.207000732,4665.66533966547
5765,Edgewood Pleasure Drive,261P,TRAFFICWAY,CityPark_Trafficway,2.43000007,Edgewood Pleasure Drive,1,105931.621643066,4438.47698690968
5766,Reindahl (Amund) Park,400C,COMMUNITY,CityPark_Community,90.73999786,Reindahl (Amund) Park,1,3952715.45513916,10368.9771954503
5767,Law Park,003P,COMMUNITY,CityPark_Community,4.65999985,Law Park,1,203097.405822754,5539.29839727951
5768,Country Grove Park,717A,COMMUNITY,CityPark_Community,31.48999977,Country Grove Park,1,1371724.54855347,9298.03169561925
5769,Sunridge Park,571N,MINI,CityPark_Mini,2.3599999,Sunridge Park,1,102762.878356934,1284.46202999444
5770,Veterans Memorial Park,574N,NEIGHBORHOOD,CityPark_Neighborhood,5.34000015,Veterans Memorial Park,1,232543.557952881,1974.16123623194
5771,Sandburg Park,596A,NEIGHBORHOOD,CityPark_Neighborhood,14.73999977,Sandburg Park,1,642095.434051514,9808.03078057729
5772,Esther Beach,237N,MINI,CityPark_Mini,1.60000002,Esther Beach Park,1,69783.2844238281,1113.20714025151
5773,Jeffy Trail Park,795P,OPEN SPACE,CityPark_OpenSpace,1.34000003,Jeffy Trail Park,1,58345.1219177246,1582.57211210802
5774,Doncaster Park,499N,MINI,CityPark_Mini,0.28,Doncaster Park,1,12029.7275390625,448.977848632082
5775,Mohican Pass Triangle,483T,MINI,CityPark_Mini,0.85000002,Mohican Pass Triangle Park,1,36985.0170898438,863.826335581554
5776,Westport Meadows Park,482N,MINI,CityPark_Mini,1.67999995,Westport Meadows Park,1,73175.0652160645,1065.12351160765
5777,Edna Taylor Conservation Park,360E,CONSERVATION,CityPark_Conservation,60.27000046,Edna Taylor Conservation Park,1,2625250.77215576,7854.73284013023
5778,Odana School Park,407N,NEIGHBORHOOD,CityPark_Neighborhood,5.98000002,Odana School Park,1,260560.554901123,2054.77874744836
5779,Wingra Park & Boat Livery,259A,NEIGHBORHOOD,CityPark_Neighborhood,11.76000023,Wingra Park and Boat Livery,1,512307.353302002,3532.16709193318
5780,Woodland Hills Park,561A,NEIGHBORHOOD,CityPark_Neighborhood,15.13000011,Woodland Hills Park,1,658861.715911865,3358.27400550855
5781,Eken Park,232N,MINI,CityPark_Mini,2.06999993,Eken Park,1,90061.1816101074,1254.37587042591
5782,Few Street (South) Street End,124T,TRAFFICWAY,CityPark_Trafficway,0.1,Few Street (South) Street End,1,4522.50259399414,270.158029155323
5783,Village Park,794N,MINI,CityPark_Mini,3.22000003,Village Park,1,140249.106872559,1779.31944491029
5784,Segoe Playground,413N,MINI,CityPark_Mini,1.91999996,Segoe Park,1,83605.7482910156,1248.17838678329
5785,Quaker Park,256N,MINI,CityPark_Mini,0.76999998,Quaker Park,1,33498.0381774902,821.829592244421
5786,Owen Parkway,375P,OPEN SPACE,CityPark_OpenSpace,9.28999996,Owen Parkway,1,404507.774627686,6389.24214777973
5787,McGinnis Park,412N,NEIGHBORHOOD,CityPark_Neighborhood,4.07000017,McGinnis Park,1,177490.235839844,2160.88284498484
5788,Cherokee Park,582A,NEIGHBORHOOD,CityPark_Neighborhood,18,Cherokee Park,1,784287.956451416,10255.1813246988
5789,Cherokee Marsh-School Rd Unit,580E,CONSERVATION,CityPark_Conservation,261.26998901,Cherokee Marsh - South Unit (School Road Unit),1,11381114.213562,28382.4051859864
5790,McPike Park,102S,COMMUNITY,CityPark_Community,9.21000004,McPike Park,1,400702.793548584,6393.16940754846
5791,Thut Park,249N,NEIGHBORHOOD,CityPark_Neighborhood,7.19000006,Thut Park,1,313379.479003906,3161.36810107385
5792,Edward Klief Park,109N,MINI,CityPark_Mini,1.66999996,Edward Klief Park,1,72792.8014526367,1128.73919762061
5793,Zook Park,487N,MINI,CityPark_Mini,1.63,Zook Park,1,71063.3145751953,1114.34345848091
5794,South & West Shore Parkways,001P,OPEN SPACE,CityPark_OpenSpace,2.80999994,South & West Shore Park,1,122411.860137939,7064.22870318904
5795,Berkley Park,492N,MINI,CityPark_Mini,3.0999999,Berkley Park,1,135193.130645752,1566.77608786453
5796,Washington Manor Park,334N,MINI,CityPark_Mini,2.47000003,Washington Manor Park,1,107465.678314209,1624.39820998091
5797,Manchester Park,629A,NEIGHBORHOOD,CityPark_Neighborhood,14.43999958,Manchester Park,1,629083.353851318,3392.88509818041
5798,Bowman (Duane F.) Field,225C,SPORTS COMPLEX,CityPark_SportsComplex,23.36000061,Duane F. Bowman Park,1,1017351.29962158,6047.22213623923
5799,Robin Park,315G,OTHER,CityPark_Other,2.1099999,Robin Park,1,91929.3301086426,1770.85214483017
5800,Brittingham Park,005C,COMMUNITY,CityPark_Community,25.80999947,Brittingham Park,1,1124262.02145386,16490.394006188
5801,Sandburg Woods,596E,CONSERVATION,CityPark_Conservation,34.11999893,Sandburg Woods,1,1486144.09793091,7426.06479083165
5802,Orchard Ridge Valley Park,465P,NEIGHBORHOOD,CityPark_Neighborhood,9.5,Orchard Ridge Valley Park,1,413747.123535156,3437.94244614914
5803,Kennedy Park,418A,COMMUNITY,CityPark_Community,22.71999931,Kennedy Park,1,989474.125610352,4173.31343917018
5804,Meadow Ridge Conservation Park,484E,CONSERVATION,CityPark_Conservation,9.86999989,Meadow Ridge Conservation Park,1,429844.051177979,3001.41233123079
5805,Tillotson Park,389P,OPEN SPACE,CityPark_OpenSpace,1.30999994,Tillotson Park,1,56973.0483398438,1834.67885057492
5806,Hillington Triangle,257N,MINI,CityPark_Mini,0.68000001,Hillington Triangle Park,1,29702.6196899414,836.346954051939
