Address,AddrCoor,latitude,Longitude
317 State St.,"317 State St, Madison, Wisconsin, 53703",43.074746466818716,-89.39086208381903
210 East Olin Ave,"210 E Olin Ave, Madison, Wisconsin, 53713",43.05221272499824,-89.38058480388386
4117 Dwight Drive,"4117 Dwight Dr, Madison, Wisconsin, 53704",43.125875604189716,-89.31405312666651
1100 block of Moorland Road,"1100 Moorland Rd, Madison, Wisconsin, 53713",43.0336902252148,-89.36669723577278
6700 block of Schroeder Road,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.04632219116834,-89.49790114759956
4198 Nakoosa Trail,"4198 Nakoosa Trl, Madison, Wisconsin, 53714",43.10968272811398,-89.31157391392966
317 State Street,"317 State St, Madison, Wisconsin, 53703",43.074746466818716,-89.39086208381903
3500 block of Straubel Street,"3500 Straubel St, Madison, Wisconsin, 53704",43.117111763441216,-89.33033372286627
4822 East Washington Avenue,"4822 E Washington Ave, Madison, Wisconsin, 53704",43.13433717127341,-89.30045332921661
1306 Williamson St,"1306 Williamson St, Madison, Wisconsin, 53703",43.084628464625695,-89.36241813240798
6617 Odana Rd.,"6617 Odana Rd, Madison, Wisconsin, 53719",43.05588231767634,-89.49528060179418
223 N. Frances St.,"223 N Frances St, Madison, Wisconsin, 53703",43.07180215598132,-89.39582648124544
Brentwood Parkway,"Brentwood Pkwy, Madison, Wisconsin, 53704",43.12388279746061,-89.36727890304824
2100 block Taft St.,"2100 Taft St, Madison, Wisconsin, 53713",43.0430104296951,-89.39312062017628
Welton Dr.,"Welton Dr, Madison, Wisconsin, 53719",43.043804952572536,-89.51404141922703
1000 block McKenna Blvd.,"1000 McKenna Blvd, Madison, Wisconsin, 53719",43.04394474217731,-89.50381311740533
4202 East Towne Blvd.,"4202 East Towne Blvd, Madison, Wisconsin, 53704",43.1242734618844,-89.31045915909704
725 S. Gammon Rd.,"725 S Gammon Rd, Madison, Wisconsin, 53719",43.04907,-89.50303293998637
East Washington Ave.,"E Washington Ave, Madison, Wisconsin, 53718",43.14603175742423,-89.28533709741319
Chester Dr.,"Chester Dr, Madison, Wisconsin, 53719",43.01682581525151,-89.50147188542444
Rockefeller Lane,"Rockefeller Ln, Madison, Wisconsin, 53704",43.11121124717994,-89.29790020722344
2602 Post Rd.,"2602 Post Rd, Madison, Wisconsin, 53713",43.02656950995374,-89.42133456370816
500 block S. Midvale Blvd.,"500 N Midvale Blvd, Madison, Wisconsin, 53705",43.07165549999999,-89.45130934776321
S Park St / Hughes Pl,"S Park St & Hughes Pl, Madison, Wisconsin, 53713",43.03981800000001,-89.3939625
1200 block Winn Trl,"1200 Winn Trl, Madison, Wisconsin, 53704",43.14339486715015,-89.37547328591836
4600 block Hayes Rd.,"4600 Hayes Rd, Madison, Wisconsin, 53704",43.142518856386644,-89.30556624257056
739 Hilldale Way,"739 Hilldale Way, Madison, Wisconsin, 53705",43.07322846424284,-89.45379417854569
1300 block Milton St.,"1300 Milton St, Madison, Wisconsin, 53715",43.066437216729334,-89.4073247167293
1402 Wyoming Way,"1402 Wyoming Way, Madison, Wisconsin, 53704",43.14584465675977,-89.37033425653567
N. Spooner St.,"N Spooner St, Madison, Wisconsin, 53726",43.069796427535024,-89.41672270133402
1100 block Morraine View Dr.,"1100 Morraine View Dr, Madison, Wisconsin, 53719",43.04254752502807,-89.50635441385461
115 W. Doty St.,"115 W Doty St, Madison, Wisconsin, 53703",43.07195282096497,-89.38391838646214
641 West Main Street,"641 W Main St, Madison, Wisconsin, 53703",43.06672921784314,-89.39304414692161
6410 Millpond Rd.,"6410 Millpond Rd, Madison, Wisconsin, 53718",43.0449465572742,-89.26743375688145
5800 block Dorsett Dr.,"5800 Dorsett Dr, Madison, Wisconsin, 53711",43.038058775258506,-89.48005462825007
5800 block Russett Rd.,"5800 Russett Rd, Madison, Wisconsin, 53711",43.032827035487934,-89.48098558093561
2200 block Brentwood Parkway,"2200 Brentwood Pkwy, Madison, Wisconsin, 53704",43.12255076402731,-89.36736941140462
44 West Towne Mall,"44 West Towne Mall, Madison, Wisconsin, 53719",43.059993208537776,-89.50663024024307
S. Bassett St.,"S Bassett St, Madison, Wisconsin, 53703",43.06876928890163,-89.38889951606599
Langdon St.,"Langdon St, Madison, Wisconsin, 53706",43.075818,-89.39893975732289
Mid Town Rd.,"Mid Town Rd, Madison, Wisconsin, 53719",43.03145700000002,-89.52096074984367
Allis Ave.,"Allis Ave, Madison, Wisconsin, 53716",43.071234224919024,-89.31308876618475
4512 E. Washington Ave.,"4512 E Washington Ave, Madison, Wisconsin, 53704",43.12870859403255,-89.30793685050996
4300 Lumley Rd,"4300 Lumley Rd, Madison, Wisconsin, 53711",43.03371280035526,-89.44677654664164
100 block State St.,"100 State St, Madison, Wisconsin, 53703",43.074733493219334,-89.3870235
626 University Ave.,"626 University Ave, Madison, Wisconsin, 53715",43.07316145715254,-89.397054
500 block of Northport Dr,"500 Northport Dr, Madison, Wisconsin, 53704",43.14077127058236,-89.39030766933891
3505 E. Washington Ave.,"3505 E Washington Ave, Madison, Wisconsin, 53704",43.11476403967348,-89.32774757380706
E. Buckeye Rd.,"E Buckeye Rd, Madison, Wisconsin, 53718",43.07475600000001,-89.26743119170132
E. Gorham St.,"E Gorham St, Madison, Wisconsin, 53703",43.08383692280203,-89.37885584882054
4692 Cottage Grove Rd,"4692 Cottage Grove Rd, Madison, Wisconsin, 53716",43.08434553101691,-89.3009126888741
King St. at E. Main St.,"King St & E Main St, Madison, Wisconsin, 53703",43.074666000000015,-89.38211399999999
Meadowlark Dr,"Meadowlark Dr, Madison, Wisconsin, 53716",43.08054509130689,-89.29516058867536
N. High Point Rd.,"N High Point Rd, Madison, Wisconsin, 53717",43.07487441866001,-89.5185839470361
Hayes Rd.,"Hayes Rd, Madison, Wisconsin, 53704",43.14095696932538,-89.30037442084311
Goodland Dr.,"Goodland Dr, Madison, Wisconsin, 53704",43.134954051380745,-89.37739960418645
2901 Dryden Dr.,"2901 Dryden Dr, Madison, Wisconsin, 53704",43.12849878322473,-89.3592955712969
Ardsley Circle,"Ardsley Cir, Madison, Wisconsin, 53713",43.03240649999999,-89.4224475
211 South Carroll St.,"211 S Carroll St, Madison, Wisconsin, 53703",43.07207946658759,-89.38293338129759
4500 block McCann Rd.,"4500 McCann Rd, Madison, Wisconsin, 53714",43.10237304013103,-89.30569750758947
2800 Block of Coolidge St,"2800 Coolidge St, Madison, Wisconsin, 53704",43.10926827124458,-89.34527522875544
1700 block Northport Dr.,"1700 Northport Dr, Madison, Wisconsin, 53704",43.130553261145316,-89.36215495194246
4200 block School Rd.,"4200 School Rd, Madison, Wisconsin, 53704",43.139587384572096,-89.3830477994088
Petra Place,"Petra Pl, Madison, Wisconsin, 53713",43.03678627391045,-89.40352547092759
Margaret St.,"Margaret St, Madison, Wisconsin, 53714",43.08942351632834,-89.31944862841885
7948 Tree Lane,"7948 Tree Ln, Madison, Wisconsin, 53717",43.06158344794861,-89.51981579012005
800 block of Vernon Ave,"800 Vernon Ave, Madison, Wisconsin, 53714",43.08632083642136,-89.30573962542343
School Rd.,"School Rd, Madison, Wisconsin, 53704",43.14087070377915,-89.38296710538583
Radford Dr.,"Radford Dr, Madison, Wisconsin, 53718",43.09751111730303,-89.2647299150287
2200 block Badger Lane,"2200 Badger Ln, Madison, Wisconsin, 53713",43.04130248428042,-89.37435760707541
Graceland Ave.,"Graceland Ave, Madison, Wisconsin, 53704",43.116663601764195,-89.32854506656938
212 East Bluff,"212 East Bluff, Madison, Wisconsin, 53704",43.13281096860773,-89.36481116417562
E. Johnson St.,"E Johnson St, Madison, Wisconsin, 53704",43.09272647894255,-89.36436816185055
3737 E. Wasington Ave.,"3737 E Washington Ave, Madison, Wisconsin, 53704",43.118129213947995,-89.32247375959409
