Address,AddrCoor,latitude,Longitude
N. Park St.,"N Park St, Madison, Wisconsin, 53715",43.07312714347479,-89.40065933782758
415 N. Lake St.,"415 N Lake St, Madison, Wisconsin, 53715",43.074320607248126,-89.39734294070658
1720 Monroe St,"1720 Monroe St, Madison, Wisconsin, 53711",43.06567170886944,-89.41602762228042
606 South Whitney Way,"606 S Whitney Way, Madison, Wisconsin, 53711",43.05313758090483,-89.47365958540556
4222 E. Washington Ave.,"4222 E Washington Ave, Madison, Wisconsin, 53704",43.12649150848277,-89.31099953416222
6500 block Raymond Rd.,"6500 Raymond Rd, Madison, Wisconsin, 53711",43.03196717294297,-89.49368417294296
4200 block Lumley Rd.,"4200 Lumley Rd, Madison, Wisconsin, 53711",43.03368692241999,-89.44396741434825
N. Baldwin St.,"N Baldwin St, Madison, Wisconsin, 53703",43.08976089473138,-89.36942721669489
Odana Rd.,"Odana Rd, Madison, Wisconsin, 53719",43.05375284630458,-89.48862865418533
3801 East Washington Avenue,"3801 E Washington Ave, Madison, Wisconsin, 53704",43.118828337090726,-89.32131707496865
1300 Block Of Drake Street,"1300 Drake St, Madison, Wisconsin, 53715",43.06211790989316,-89.40730150078792
200 S Bassett St,"200 S Bassett St, Madison, Wisconsin, 53703",43.06852221668067,-89.38868323439924
3200 block East Washington Av,"3200 E Washington Ave, Madison, Wisconsin, 53704",43.10930385464726,-89.33596547656859
13 Atlas Court,"13 Atlas Ct, Madison, Wisconsin, 53714",43.08632691869113,-89.30730389021305
4513 Milwaukee St,"4513 Milwaukee St, Madison, Wisconsin, 53714",43.09873648788189,-89.30503125284207
100 blk Knutson Dr.,"100 Knutson Dr, Madison, Wisconsin, 53704",43.14138988935177,-89.40032669508723
4325 Mohawk Drive,"4325 Mohawk Dr, Madison, Wisconsin, 53711",43.03823804550186,-89.45055856844002
901 E. Johnson St.,"901 E Johnson St, Madison, Wisconsin, 53703",43.08455340769821,-89.37601522840338
7857 Big Sky Dr.,"7857 Big Sky Dr, Madison, Wisconsin, 53719",43.05907777018299,-89.51994742873175
1402 Wyoming Way,"1402 Wyoming Way, Madison, Wisconsin, 53704",43.14584465675977,-89.37033425653567
Winterset Circle,"Winterset Cir, Madison, Wisconsin, 53717",43.070332236874485,-89.50697730624951
Lynchburg Trail,"Lynchburg Trl, Madison, Wisconsin, 53718",43.078069581572784,-89.27470221314961
115 W. Doty St.,"115 W Doty St, Madison, Wisconsin, 53703",43.07195282096497,-89.38391838646214
1791 Thierer Rd.,"1791 Thierer Rd, Madison, Wisconsin, 53704",43.12308023264429,-89.31351611148997
